Age	Attrition	BusinessTravel	Department	DistanceFromHome	Education	EnvironmentSatisfaction	JobRole	MonthlyIncome	OverTime	PerformanceRating	TotalWorkingYears	YearsAtCompany
40	No	Travel_Frequently	Research & Development	1	4	3	Healthcare Representative	13503	No	4	22	22
51	No	Travel_Rarely	Sales	21	4	3	Sales Executive	5441	Yes	4	11	10
30	No	Travel_Rarely	Sales	4	2	3	Sales Executive	5209	Yes	3	11	11
46	No	Travel_Frequently	Research & Development	1	3	3	Healthcare Representative	10673	Yes	3	21	10
32	No	Travel_Rarely	Sales	6	4	2	Sales Executive	5010	No	3	12	11
54	No	Travel_Rarely	Research & Development	2	4	1	Research Director	13549	No	3	16	4
24	No	Travel_Rarely	Sales	3	2	1	Sales Executive	4999	No	4	4	3
28	No	Non-Travel	Sales	4	3	2	Sales Executive	4221	No	3	5	5
58	No	Travel_Rarely	Sales	10	4	4	Sales Executive	13872	No	3	38	37
44	No	Non-Travel	Research & Development	23	3	2	Laboratory Technician	2042	No	3	17	3
37	Yes	Travel_Rarely	Human Resources	6	4	3	Human Resources	2073	Yes	4	7	3
32	No	Travel_Rarely	Research & Development	1	1	4	Research Scientist	2956	No	3	1	1
20	Yes	Travel_Frequently	Research & Development	6	3	4	Laboratory Technician	2926	Yes	3	1	1
34	No	Travel_Rarely	Research & Development	6	4	1	Research Scientist	4809	No	3	16	16
37	No	Non-Travel	Research & Development	2	2	3	Healthcare Representative	5163	No	3	17	1
59	No	Non-Travel	Human Resources	2	4	3	Manager	18844	No	4	30	3
50	No	Travel_Frequently	Research & Development	1	3	1	Research Director	18172	Yes	3	28	8
25	Yes	Travel_Rarely	Sales	5	3	3	Sales Executive	5744	Yes	3	6	6
25	No	Travel_Rarely	Research & Development	7	1	4	Research Scientist	2889	No	3	2	2
22	No	Travel_Rarely	Research & Development	15	3	2	Laboratory Technician	2871	No	3	1	0
51	No	Travel_Frequently	Research & Development	1	4	1	Healthcare Representative	7484	No	4	23	13
34	Yes	Travel_Frequently	Research & Development	7	3	1	Laboratory Technician	6074	Yes	4	9	9
54	No	Non-Travel	Human Resources	26	3	4	Manager	17328	Yes	3	23	5
24	No	Travel_Rarely	Research & Development	18	1	2	Laboratory Technician	2774	No	3	6	5
34	No	Travel_Rarely	Research & Development	6	4	3	Research Scientist	4505	No	3	12	1
37	No	Travel_Rarely	Sales	3	3	3	Sales Executive	7428	No	3	12	5
34	No	Travel_Rarely	Research & Development	5	3	3	Manager	11631	No	3	14	11
36	No	Travel_Frequently	Sales	11	2	2	Sales Executive	9738	No	3	10	9
36	No	Travel_Rarely	Research & Development	3	2	1	Laboratory Technician	2835	No	4	7	1
43	No	Travel_Frequently	Sales	26	2	3	Manager	16959	Yes	3	25	25
30	No	Travel_Frequently	Research & Development	23	3	1	Research Scientist	2613	No	4	10	10
33	No	Non-Travel	Sales	22	2	3	Sales Executive	6146	No	3	8	7
56	Yes	Travel_Rarely	Research & Development	14	4	2	Research Scientist	4963	Yes	3	7	5
51	No	Travel_Rarely	Research & Development	6	3	1	Research Director	19537	No	3	23	20
31	Yes	Travel_Rarely	Sales	6	4	2	Sales Executive	6172	Yes	3	12	7
26	No	Travel_Rarely	Research & Development	6	3	3	Research Scientist	2368	No	3	5	5
58	Yes	Travel_Rarely	Research & Development	23	4	4	Healthcare Representative	10312	No	3	40	40
19	Yes	Travel_Rarely	Sales	22	1	4	Sales Representative	1675	Yes	3	0	0
22	No	Travel_Rarely	Research & Development	2	1	3	Laboratory Technician	2523	No	3	3	2
49	No	Travel_Rarely	Research & Development	20	4	3	Manufacturing Director	6567	No	3	16	15
43	No	Travel_Frequently	Research & Development	28	3	2	Research Scientist	4739	No	3	18	3
50	No	Travel_Frequently	Sales	12	3	3	Sales Executive	9208	No	3	16	2
31	Yes	Travel_Rarely	Sales	20	3	2	Sales Executive	4559	Yes	3	4	2
41	No	Travel_Rarely	Sales	9	1	3	Sales Executive	8189	Yes	3	12	9
26	No	Travel_Rarely	Human Resources	25	1	3	Human Resources	2942	No	4	8	8
36	No	Travel_Rarely	Research & Development	6	2	2	Manufacturing Director	4941	No	4	7	3
51	Yes	Travel_Frequently	Research & Development	8	4	1	Manufacturing Director	10650	No	3	18	4
39	No	Travel_Rarely	Sales	4	4	4	Sales Executive	5902	No	3	17	15
25	No	Travel_Rarely	Sales	28	3	1	Sales Executive	8639	No	3	6	2
30	No	Travel_Rarely	Human Resources	9	3	3	Human Resources	6347	Yes	3	12	11
32	Yes	Travel_Rarely	Research & Development	9	3	1	Laboratory Technician	4200	No	4	10	5
45	No	Travel_Rarely	Research & Development	29	3	3	Research Scientist	3452	No	3	9	6
38	No	Travel_Rarely	Research & Development	3	5	4	Research Scientist	4317	Yes	4	19	3
30	No	Travel_Rarely	Research & Development	18	3	1	Research Scientist	2632	No	3	5	5
32	No	Travel_Frequently	Sales	9	2	4	Sales Executive	4668	No	3	9	8
30	No	Travel_Rarely	Research & Development	5	3	4	Research Scientist	3204	No	3	8	3
30	No	Travel_Rarely	Research & Development	2	1	2	Laboratory Technician	2720	No	3	6	5
41	No	Travel_Frequently	Research & Development	10	3	4	Manager	17181	No	3	21	7
41	No	Travel_Rarely	Research & Development	9	4	3	Laboratory Technician	2238	No	4	7	5
19	No	Travel_Rarely	Research & Development	3	1	2	Laboratory Technician	1483	No	3	1	1
40	No	Travel_Frequently	Research & Development	26	3	2	Research Scientist	5605	No	3	20	20
35	No	Travel_Rarely	Sales	1	5	3	Sales Executive	7295	No	3	10	10
53	No	Travel_Rarely	Sales	6	2	2	Sales Representative	2306	Yes	4	13	7
45	No	Travel_Rarely	Research & Development	9	3	2	Laboratory Technician	2348	No	3	20	17
32	No	Travel_Frequently	Sales	8	3	2	Sales Executive	8998	No	3	9	9
29	No	Non-Travel	Research & Development	1	1	4	Manufacturing Director	4319	No	3	10	10
51	No	Travel_Rarely	Research & Development	7	4	2	Manufacturing Director	6132	No	3	10	1
58	No	Travel_Rarely	Research & Development	9	3	2	Research Scientist	3346	Yes	4	9	1
40	No	Travel_Rarely	Sales	4	4	3	Sales Executive	10855	No	3	15	12
34	No	Travel_Frequently	Sales	2	4	3	Sales Representative	2231	No	3	6	4
22	No	Travel_Rarely	Research & Development	19	1	3	Research Scientist	2323	No	4	2	2
27	No	Non-Travel	Research & Development	9	3	4	Research Scientist	2024	No	3	6	2
28	No	Travel_Rarely	Research & Development	21	3	3	Research Scientist	2713	No	3	5	5
57	No	Travel_Rarely	Research & Development	24	2	3	Healthcare Representative	9439	Yes	3	12	5
27	No	Non-Travel	Research & Development	3	3	3	Research Scientist	2566	Yes	3	1	1
50	No	Travel_Rarely	Research & Development	11	3	3	Manager	19926	No	3	21	5
41	No	Travel_Rarely	Research & Development	14	3	1	Research Scientist	2451	No	3	13	9
30	No	Travel_Rarely	Sales	5	3	2	Sales Executive	9419	No	3	12	10
38	No	Travel_Rarely	Sales	1	4	1	Sales Executive	8686	No	4	12	8
32	No	Travel_Rarely	Research & Development	6	5	3	Research Scientist	3038	No	4	8	5
27	No	Travel_Rarely	Research & Development	17	3	3	Research Scientist	3058	Yes	3	6	5
19	Yes	Travel_Frequently	Sales	1	1	3	Sales Representative	2325	No	4	1	0
36	No	Travel_Frequently	Research & Development	3	2	4	Laboratory Technician	2088	No	3	13	8
30	No	Non-Travel	Research & Development	9	3	3	Laboratory Technician	3072	No	3	12	12
45	No	Travel_Rarely	Sales	4	2	3	Sales Executive	5006	Yes	3	9	5
56	No	Travel_Rarely	Research & Development	8	3	3	Research Scientist	4257	Yes	3	19	2
33	No	Travel_Rarely	Research & Development	2	3	3	Research Scientist	2500	No	3	4	3
19	Yes	Travel_Rarely	Research & Development	2	3	2	Laboratory Technician	1102	No	4	1	1
46	No	Travel_Rarely	Sales	1	2	2	Sales Executive	10453	No	4	24	24
38	No	Travel_Rarely	Research & Development	9	2	3	Laboratory Technician	2288	No	3	2	2
31	No	Travel_Rarely	Research & Development	12	1	3	Research Scientist	3929	Yes	4	7	4
34	No	Travel_Rarely	Research & Development	27	2	4	Research Scientist	2311	No	3	9	3
41	Yes	Travel_Rarely	Sales	20	2	2	Sales Representative	3140	Yes	4	4	4
50	No	Travel_Rarely	Research & Development	1	3	3	Laboratory Technician	3690	No	3	5	3
53	No	Travel_Rarely	Research & Development	13	2	4	Manufacturing Director	4450	No	3	5	4
33	No	Travel_Rarely	Research & Development	14	3	4	Research Scientist	2756	No	3	8	8
40	No	Travel_Rarely	Research & Development	4	1	4	Manager	19033	No	3	21	20
55	No	Travel_Rarely	Research & Development	14	4	3	Research Director	18722	No	3	36	24
34	No	Travel_Frequently	Research & Development	2	1	4	Manufacturing Director	9547	No	3	10	10
51	No	Travel_Rarely	Research & Development	3	3	4	Healthcare Representative	13734	No	3	21	7
52	No	Travel_Rarely	Research & Development	1	4	3	Manager	19999	No	3	34	33
27	No	Travel_Rarely	Research & Development	9	3	4	Research Scientist	2279	No	3	7	7
35	Yes	Travel_Rarely	Research & Development	23	2	2	Manufacturing Director	5916	Yes	3	8	1
43	No	Non-Travel	Research & Development	7	3	4	Research Scientist	2089	No	3	7	5
45	No	Non-Travel	Research & Development	2	2	1	Manager	16792	No	4	22	20
37	No	Travel_Rarely	Research & Development	21	3	2	Research Scientist	3564	Yes	3	8	8
35	No	Travel_Frequently	Research & Development	2	3	2	Laboratory Technician	4425	No	3	10	6
42	No	Non-Travel	Research & Development	21	2	3	Manufacturing Director	5265	No	3	11	5
38	No	Travel_Rarely	Research & Development	2	4	4	Manufacturing Director	6553	No	3	14	1
38	No	Travel_Rarely	Research & Development	29	3	4	Manufacturing Director	6261	No	3	9	7
27	No	Travel_Frequently	Research & Development	1	1	3	Manufacturing Director	4298	No	3	6	2
49	No	Non-Travel	Research & Development	18	4	4	Manufacturing Director	6804	Yes	3	7	7
34	No	Travel_Frequently	Research & Development	10	4	4	Research Scientist	3815	Yes	3	5	5
40	No	Travel_Rarely	Research & Development	19	2	3	Laboratory Technician	2741	Yes	3	15	7
38	Yes	Travel_Rarely	Research & Development	29	1	2	Healthcare Representative	6673	Yes	3	17	1
29	Yes	Travel_Rarely	Sales	27	3	2	Sales Executive	7639	No	4	10	10
22	No	Travel_Rarely	Research & Development	5	3	4	Research Scientist	2328	Yes	3	4	4
36	No	Travel_Frequently	Research & Development	18	1	2	Laboratory Technician	2153	No	3	8	8
40	No	Non-Travel	Research & Development	9	5	4	Healthcare Representative	4876	No	3	5	3
46	No	Travel_Rarely	Research & Development	1	4	4	Healthcare Representative	9396	No	3	17	4
32	Yes	Travel_Rarely	Sales	4	4	4	Sales Executive	10400	No	3	14	14
30	No	Non-Travel	Research & Development	1	1	3	Manufacturing Director	8474	No	4	12	11
27	No	Travel_Frequently	Sales	20	3	4	Sales Executive	9981	No	3	7	7
51	No	Travel_Rarely	Research & Development	8	4	2	Research Director	12490	No	3	16	10
30	Yes	Travel_Rarely	Research & Development	3	3	4	Research Scientist	2657	Yes	3	8	5
41	No	Travel_Rarely	Sales	6	3	4	Manager	13591	Yes	3	16	1
30	Yes	Travel_Frequently	Sales	26	4	3	Sales Executive	6696	No	3	9	6
29	Yes	Travel_Rarely	Research & Development	1	3	3	Research Scientist	2058	No	3	7	6
45	No	Non-Travel	Sales	6	3	4	Sales Executive	8865	No	3	23	19
54	No	Travel_Rarely	Sales	3	3	4	Sales Executive	5940	No	3	16	6
36	No	Travel_Rarely	Research & Development	5	2	4	Laboratory Technician	5914	No	3	16	13
33	No	Travel_Rarely	Research & Development	4	4	3	Research Scientist	2622	No	4	7	3
37	No	Travel_Frequently	Research & Development	11	3	2	Research Director	12185	Yes	3	10	10
38	No	Travel_Rarely	Sales	3	3	1	Sales Executive	10609	No	3	17	16
31	No	Non-Travel	Research & Development	1	4	3	Manufacturing Director	4345	No	3	6	5
59	No	Travel_Rarely	Research & Development	3	3	3	Research Scientist	2177	No	3	7	1
37	No	Travel_Frequently	Sales	4	4	1	Sales Representative	2793	No	3	13	9
29	No	Travel_Frequently	Sales	1	1	2	Sales Executive	7918	No	3	11	11
35	No	Travel_Frequently	Sales	1	3	3	Sales Executive	8789	No	3	10	10
29	Yes	Travel_Rarely	Research & Development	18	1	3	Research Scientist	2389	Yes	3	4	4
52	No	Travel_Rarely	Research & Development	2	3	3	Laboratory Technician	3212	No	3	6	2
42	No	Travel_Rarely	Research & Development	4	2	3	Manager	19232	No	3	22	22
59	No	Travel_Rarely	Human Resources	6	2	2	Human Resources	2267	No	3	7	2
50	No	Travel_Rarely	Sales	1	4	4	Manager	19517	No	3	32	7
33	Yes	Travel_Rarely	Research & Development	14	3	3	Laboratory Technician	2436	Yes	3	8	5
43	No	Travel_Rarely	Sales	16	3	4	Manager	16064	Yes	4	22	17
33	Yes	Travel_Rarely	Research & Development	2	2	1	Laboratory Technician	2707	No	4	13	9
52	No	Non-Travel	Sales	2	4	1	Manager	19068	Yes	3	33	33
32	No	Travel_Rarely	Sales	4	2	3	Sales Representative	3931	No	3	6	4
32	Yes	Travel_Rarely	Research & Development	1	3	4	Laboratory Technician	3730	Yes	3	4	3
39	No	Travel_Rarely	Research & Development	1	4	3	Laboratory Technician	2232	No	3	7	3
32	No	Non-Travel	Sales	26	4	3	Sales Executive	4465	No	3	4	3
41	No	Travel_Rarely	Research & Development	19	2	3	Research Scientist	3072	No	3	17	1
40	No	Travel_Rarely	Research & Development	24	2	1	Research Scientist	3319	No	3	9	9
45	No	Travel_Rarely	Research & Development	1	3	3	Manager	19202	No	3	25	24
31	No	Travel_Frequently	Research & Development	3	4	2	Research Director	13675	No	3	9	2
33	No	Travel_Rarely	Research & Development	5	4	3	Research Scientist	2911	No	3	2	2
34	No	Travel_Rarely	Research & Development	2	4	4	Manufacturing Director	5957	No	3	13	11
37	No	Travel_Rarely	Research & Development	1	2	3	Research Scientist	3920	No	3	17	3
45	No	Travel_Frequently	Research & Development	7	4	1	Manufacturing Director	6434	No	3	9	3
37	Yes	Travel_Frequently	Research & Development	10	3	1	Manufacturing Director	10048	No	3	17	1
39	No	Travel_Frequently	Research & Development	2	4	3	Healthcare Representative	10938	No	4	20	19
29	No	Travel_Rarely	Research & Development	15	3	3	Research Scientist	2340	No	3	6	6
42	No	Travel_Rarely	Research & Development	17	2	4	Research Scientist	6545	Yes	3	10	3
29	No	Travel_Rarely	Sales	20	2	4	Sales Executive	6931	No	3	10	3
25	No	Travel_Rarely	Research & Development	1	3	1	Manufacturing Director	4898	No	3	5	4
42	No	Travel_Rarely	Research & Development	2	3	4	Laboratory Technician	2593	Yes	3	10	9
40	No	Travel_Rarely	Research & Development	2	2	1	Research Director	19436	No	3	22	21
51	No	Travel_Rarely	Research & Development	1	3	3	Research Scientist	2723	No	3	1	1
31	Yes	Travel_Frequently	Research & Development	29	2	3	Laboratory Technician	3479	No	3	6	5
32	No	Travel_Frequently	Research & Development	7	3	2	Laboratory Technician	2794	No	4	5	5
38	No	Non-Travel	Sales	2	2	4	Sales Executive	5249	No	3	13	8
32	No	Travel_Rarely	Research & Development	2	1	4	Laboratory Technician	2176	No	3	9	6
46	No	Travel_Rarely	Sales	2	3	3	Manager	16872	Yes	3	28	7
28	Yes	Travel_Rarely	Research & Development	2	4	1	Laboratory Technician	3485	No	3	5	0
29	No	Travel_Rarely	Sales	2	3	1	Sales Executive	6644	No	3	10	0
31	No	Travel_Rarely	Research & Development	23	3	2	Healthcare Representative	5582	No	4	10	9
25	No	Non-Travel	Research & Development	5	2	2	Healthcare Representative	4000	No	3	6	6
45	No	Travel_Rarely	Research & Development	20	2	3	Healthcare Representative	13496	Yes	3	21	20
36	No	Travel_Rarely	Research & Development	6	3	4	Laboratory Technician	3210	No	3	16	15
55	No	Travel_Rarely	Research & Development	1	3	4	Manager	19045	Yes	3	37	36
47	Yes	Non-Travel	Research & Development	29	4	1	Manager	11849	Yes	3	10	10
28	No	Travel_Rarely	Research & Development	9	3	4	Research Scientist	2070	No	4	5	5
37	No	Travel_Rarely	Sales	6	4	3	Sales Executive	6502	No	3	7	5
21	No	Travel_Rarely	Research & Development	3	2	4	Research Scientist	3230	No	3	3	3
37	No	Non-Travel	Research & Development	1	4	1	Research Director	13603	Yes	3	15	5
35	No	Travel_Rarely	Research & Development	22	3	2	Manager	11996	No	3	10	7
38	No	Travel_Rarely	Sales	7	2	1	Sales Executive	5605	Yes	4	8	8
26	No	Travel_Frequently	Research & Development	1	3	3	Manufacturing Director	6397	No	4	6	6
50	No	Travel_Rarely	Research & Development	4	1	1	Research Director	19144	No	3	28	10
53	No	Travel_Rarely	Research & Development	3	4	3	Research Director	17584	Yes	3	21	5
42	No	Travel_Rarely	Sales	1	1	2	Sales Executive	4907	No	4	20	20
29	No	Travel_Frequently	Sales	2	2	2	Sales Executive	4554	No	3	10	10
55	No	Travel_Rarely	Research & Development	20	2	2	Laboratory Technician	5415	Yes	3	12	10
26	No	Travel_Frequently	Research & Development	11	2	1	Healthcare Representative	4741	Yes	3	5	5
37	No	Travel_Rarely	Research & Development	1	3	4	Research Scientist	2115	No	3	17	17
44	Yes	Travel_Frequently	Research & Development	24	3	4	Laboratory Technician	3161	Yes	4	19	1
38	No	Travel_Rarely	Research & Development	23	4	4	Healthcare Representative	5745	No	3	10	2
26	Yes	Travel_Rarely	Research & Development	16	4	1	Laboratory Technician	2373	Yes	3	5	3
28	No	Travel_Rarely	Research & Development	8	2	4	Research Scientist	3310	No	4	5	5
49	No	Travel_Frequently	Research & Development	10	4	3	Research Director	18665	Yes	3	22	3
36	No	Travel_Rarely	Research & Development	3	3	3	Research Scientist	4485	No	3	10	8
31	No	Travel_Frequently	Sales	5	3	4	Sales Representative	2789	No	3	2	2
26	Yes	Travel_Rarely	Sales	4	4	4	Sales Executive	5828	Yes	3	8	8
37	No	Travel_Frequently	Research & Development	9	3	2	Research Scientist	2326	Yes	3	4	4
42	No	Travel_Frequently	Sales	26	3	3	Sales Executive	13525	No	3	23	20
18	Yes	Travel_Rarely	Research & Development	3	3	3	Laboratory Technician	1420	No	3	0	0
35	No	Travel_Rarely	Sales	16	3	3	Sales Executive	8020	No	3	12	11
36	No	Travel_Frequently	Research & Development	18	4	3	Laboratory Technician	3688	No	3	4	1
51	No	Travel_Rarely	Research & Development	2	3	4	Manufacturing Director	5482	No	3	13	4
41	No	Travel_Rarely	Sales	2	4	4	Manager	16015	No	3	22	22
18	No	Travel_Rarely	Sales	10	3	4	Sales Representative	1200	No	3	0	0
28	No	Travel_Rarely	Research & Development	16	2	2	Healthcare Representative	5661	No	3	9	8
31	No	Travel_Rarely	Sales	7	3	2	Sales Executive	6929	No	3	10	8
39	No	Travel_Rarely	Research & Development	1	3	3	Healthcare Representative	9613	No	3	19	18
36	No	Non-Travel	Research & Development	24	4	2	Laboratory Technician	5674	No	3	11	9
32	No	Travel_Rarely	Sales	7	3	4	Sales Executive	5484	No	3	13	13
38	No	Travel_Rarely	Research & Development	25	2	1	Research Director	12061	No	3	19	10
58	No	Non-Travel	Research & Development	1	4	4	Healthcare Representative	5660	Yes	3	12	5
31	No	Travel_Rarely	Research & Development	5	4	3	Research Scientist	4821	Yes	3	6	5
31	No	Travel_Rarely	Human Resources	2	3	1	Human Resources	6410	No	3	9	2
45	No	Travel_Frequently	Research & Development	7	3	1	Laboratory Technician	5210	No	3	24	24
31	No	Travel_Rarely	Research & Development	2	4	3	Research Scientist	2695	Yes	3	3	2
33	No	Travel_Frequently	Research & Development	5	4	4	Manager	11878	No	3	12	10
39	No	Travel_Rarely	Research & Development	10	1	3	Manager	17068	Yes	3	21	21
43	No	Travel_Frequently	Research & Development	10	4	3	Laboratory Technician	2455	No	3	9	8
49	No	Travel_Rarely	Research & Development	1	2	3	Healthcare Representative	13964	Yes	3	25	7
